Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Sa 17. Apr 16:07:24 CEST 2021
Hostname :  wr14
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Tesnorflow version : 2.1.0
[16200]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.0859 	 reg_loss: 0.0481 	 lambda: 0.20 	 t: 48.86 sec
[16300]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.1394 	 reg_loss: 0.0474 	 lambda: 0.20 	 t: 48.85 sec
[16400]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.1047 	 reg_loss: 0.0500 	 lambda: 0.20 	 t: 48.88 sec
[16500]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.1062 	 reg_loss: 0.0473 	 lambda: 0.20 	 t: 48.86 sec
[16600]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.1511 	 reg_loss: 0.0464 	 lambda: 0.20 	 t: 48.92 sec
[16700]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -1.9536 	 reg_loss: 0.0548 	 lambda: 0.20 	 t: 48.81 sec
[16800]  RMSE: 0.0608 	 NLL: -2.2903 	 loss: -2.2676 	 reg_loss: 0.0398 	 lambda: 0.20 	 t: 48.99 sec
[16900]  RMSE: 0.0608 	 NLL: -2.2937 	 loss: -2.2852 	 reg_loss: 0.0427 	 lambda: 0.20 	 t: 49.57 sec
[17000]  RMSE: 0.0608 	 NLL: -2.2937 	 loss: -2.1861 	 reg_loss: 0.0442 	 lambda: 0.20 	 t: 48.87 sec
[17100]  RMSE: 0.0608 	 NLL: -2.2937 	 loss: -2.1349 	 reg_loss: 0.0474 	 lambda: 0.20 	 t: 48.89 sec
[17200]  RMSE: 0.0608 	 NLL: -2.2937 	 loss: -1.8320 	 reg_loss: 0.0636 	 lambda: 0.20 	 t: 48.96 sec
