Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 08:30:23 CEST 2021
Mo 19. Apr 08:30:23 CEST 2021
0
Hostname :  wr17
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[15100] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8195 	 t: 43.55 sec
[15200] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6849 	 t: 43.35 sec
[15300] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6676 	 t: 43.59 sec
[15400] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8071 	 t: 43.26 sec
[15500] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9044 	 t: 43.45 sec
[15600] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8563 	 t: 43.25 sec
[15700] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8884 	 t: 38.55 sec
[15800] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.5663 	 t: 38.64 sec
[15900] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8242 	 t: 38.81 sec
[16000] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6140 	 t: 39.55 sec
[16100] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8083 	 t: 43.38 sec
[16200] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9159 	 t: 43.52 sec
[16300] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9038 	 t: 43.36 sec
[16400] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.4453 	 t: 43.36 sec
[16500] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7847 	 t: 43.43 sec
[16600] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7787 	 t: 43.28 sec
[16700] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8441 	 t: 43.41 sec
[16800] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8387 	 t: 43.49 sec
[16900] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.7998 	 t: 43.33 sec
[17000] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.6621 	 t: 43.11 sec
[17100] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8993 	 t: 43.49 sec
[17200] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.4677 	 t: 38.68 sec
[17300] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8566 	 t: 38.55 sec
[17400] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8484 	 t: 38.09 sec
[17500] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9754 	 t: 37.99 sec
[17600] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.8339 	 t: 43.36 sec
[17700] 	 RMSE: 0.0992 	 NLL: -0.8885 	 train_loss: -0.9795 	 t: 43.63 sec
