Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
So 18. Apr 08:48:50 CEST 2021
Hostname :  wr14
####### trying gpu
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU'), PhysicalDevice(name='/physical_device:GPU:1', device_type='GPU')]
Tesnorflow version : 2.1.0
[9000]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.2721 	 reg_loss: 0.0623 	 lambda: 0.20 	 t: 49.67 sec
[9100]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.5016 	 reg_loss: 0.0511 	 lambda: 0.20 	 t: 49.60 sec
[9200]  RMSE: 0.1013 	 NLL: -1.5419 	 loss: -1.4969 	 reg_loss: 0.0496 	 lambda: 0.20 	 t: 49.69 sec
[9300]  RMSE: 0.1013 	 NLL: -1.6061 	 loss: -1.5969 	 reg_loss: 0.0462 	 lambda: 0.20 	 t: 50.33 sec
[9400]  RMSE: 0.1013 	 NLL: -1.6061 	 loss: -1.3724 	 reg_loss: 0.0610 	 lambda: 0.20 	 t: 49.62 sec
[9500]  RMSE: 0.1013 	 NLL: -1.6061 	 loss: -1.3735 	 reg_loss: 0.0614 	 lambda: 0.20 	 t: 49.63 sec
[9600]  RMSE: 0.1013 	 NLL: -1.6061 	 loss: -1.3395 	 reg_loss: 0.0649 	 lambda: 0.20 	 t: 49.68 sec
[9700]  RMSE: 0.1013 	 NLL: -1.6061 	 loss: -1.4971 	 reg_loss: 0.0556 	 lambda: 0.20 	 t: 49.77 sec
[9800]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.6431 	 reg_loss: 0.0455 	 lambda: 0.20 	 t: 50.29 sec
[9900]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.5826 	 reg_loss: 0.0466 	 lambda: 0.20 	 t: 49.63 sec
[10000]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.4314 	 reg_loss: 0.0574 	 lambda: 0.20 	 t: 49.57 sec
[10100]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.5008 	 reg_loss: 0.0529 	 lambda: 0.20 	 t: 49.64 sec
[10200]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.4985 	 reg_loss: 0.0526 	 lambda: 0.20 	 t: 49.66 sec
[10300]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.4111 	 reg_loss: 0.0623 	 lambda: 0.20 	 t: 49.64 sec
[10400]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.3716 	 reg_loss: 0.0618 	 lambda: 0.20 	 t: 49.65 sec
[10500]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.3616 	 reg_loss: 0.0645 	 lambda: 0.20 	 t: 49.62 sec
[10600]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.5398 	 reg_loss: 0.0522 	 lambda: 0.20 	 t: 49.60 sec
[10700]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.5177 	 reg_loss: 0.0494 	 lambda: 0.20 	 t: 49.61 sec
[10800]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.4381 	 reg_loss: 0.0606 	 lambda: 0.20 	 t: 49.65 sec
[10900]  RMSE: 0.1013 	 NLL: -1.6522 	 loss: -1.5151 	 reg_loss: 0.0553 	 lambda: 0.20 	 t: 49.70 sec
