Python 3.7.7
/home/dnair2m/miniconda3/envs/evidence/bin/python
/home/dnair2m/evidential_regression
Mo 19. Apr 23:13:16 CEST 2021
Hostname :  wr17
####### trying gpu
#######  Training Laplace
GOT GPU now loading data ,  [PhysicalDevice(name='/physical_device:GPU:0', device_type='GPU')]
Tesnorflow version : 2.1.0
[11300] 	 RMSE: 0.1128 	 NLL: -0.7735 	 train_loss: -1.2650 	 t: 27.15 sec
[11400] 	 RMSE: 0.1128 	 NLL: -0.7735 	 train_loss: -1.1815 	 t: 27.31 sec
[11500] 	 RMSE: 0.1128 	 NLL: -0.7735 	 train_loss: -1.2861 	 t: 27.30 sec
[11600] 	 RMSE: 0.1128 	 NLL: -0.7735 	 train_loss: -1.1904 	 t: 25.50 sec
[11700] 	 RMSE: 0.1128 	 NLL: -0.7735 	 train_loss: -1.2747 	 t: 25.74 sec
[11800] 	 RMSE: 0.1128 	 NLL: -0.7735 	 train_loss: -1.2572 	 t: 25.62 sec
[11900] 	 RMSE: 0.1128 	 NLL: -0.7735 	 train_loss: -1.4480 	 t: 25.78 sec
[12000] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.2181 	 t: 26.00 sec
[12100] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.1732 	 t: 25.75 sec
[12200] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.2895 	 t: 25.80 sec
[12300] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.3640 	 t: 25.56 sec
[12400] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.2664 	 t: 25.69 sec
[12500] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.2101 	 t: 25.73 sec
[12600] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.4809 	 t: 25.57 sec
[12700] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.3368 	 t: 25.71 sec
[12800] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.4017 	 t: 25.80 sec
[12900] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.4623 	 t: 25.63 sec
[13000] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.3473 	 t: 25.72 sec
[13100] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.3387 	 t: 25.52 sec
[13200] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.1495 	 t: 25.67 sec
[13300] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.2569 	 t: 25.70 sec
[13400] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.5179 	 t: 25.60 sec
[13500] 	 RMSE: 0.1071 	 NLL: -0.7735 	 train_loss: -1.4103 	 t: 25.59 sec
